symbol,direction,setup_type,entry_price,sl_price,tp_price,confidence,entry_time,exit_time,exit_price,exit_reason,pnl_pips,rr_achieved,killzone,htf_bias,sniper_passed,sniper_skip_reason,partial_taken,trail_count,be_applied,peak_r
AUDUSD,BUY,HH_HL_CONTINUATION,0.62847,0.62848,0.62919,0.850,2025-01-27 16:40,2025-01-27 16:55,0.62848,TRAILED_SL,1.30,12.40,LONDON_CLOSE,NEUTRAL,True,,True,0,True,9.57
AUDUSD,BUY,CHOCH,0.62553,0.62444,0.63180,0.920,2025-01-28 12:00,2025-01-28 14:00,0.62444,SL_HIT,-10.90,-0.43,NY_OPEN,NEUTRAL,True,,False,1,False,0.00
USDJPY,BUY,LIQUIDITY_SWEEP_REVERSAL,155.47200,155.22900,156.52502,0.850,2025-01-28 12:50,2025-01-28 15:30,155.22900,SL_HIT,-24.30,-0.58,NY_OPEN,SELL,True,,False,2,False,0.00
GBPUSD,BUY,LIQUIDITY_GRAB_CONTINUATION,1.24229,1.24252,1.24852,1.000,2025-01-28 14:05,2025-01-28 17:00,1.24252,TRAILED_SL,7.28,0.60,NY_OPEN,BUY,True,,True,2,True,0.00
USDJPY,SELL,LIQUIDITY_GRAB_CONTINUATION,155.49100,155.55200,154.91709,0.970,2025-01-28 15:45,2025-01-28 16:10,155.55200,SL_HIT,-6.10,-0.27,LONDON_CLOSE,SELL,True,,False,1,False,0.00
GBPUSD,BUY,CHOCH,1.24346,1.24350,1.25436,1.000,2025-01-28 17:00,2025-01-28 17:50,1.24350,TRAILED_SL,4.46,0.29,LONDON_CLOSE,BUY,True,,True,1,True,0.00
GBPUSD,SELL,CHOCH,1.24141,1.24263,1.22295,0.820,2025-01-29 12:10,2025-01-29 13:20,1.24263,SL_HIT,-12.20,-0.17,NY_OPEN,NEUTRAL,True,,False,1,False,0.00
USDJPY,BUY,CHOCH,155.35800,155.35930,157.00555,0.820,2025-01-29 13:00,2025-01-29 14:00,155.35930,TRAILED_SL,1.61,0.02,NY_OPEN,SELL,True,,True,1,True,0.00
GBPUSD,SELL,CHOCH,1.24214,1.24212,1.22551,0.820,2025-01-29 13:20,2025-01-29 14:05,1.24212,TRAILED_SL,2.42,0.04,NY_OPEN,NEUTRAL,True,,True,1,True,0.00
USDJPY,BUY,CHOCH,155.42900,155.12100,157.25405,0.820,2025-01-29 14:10,2025-01-30 01:30,155.12100,SL_HIT,-30.80,-0.42,NY_OPEN,SELL,True,,False,1,False,0.00
GBPUSD,SELL,CHOCH,1.24267,1.24630,1.22756,0.920,2025-01-30 14:00,2025-01-30 22:30,1.24630,SL_HIT,-36.30,-0.60,NY_OPEN,NEUTRAL,True,,False,3,False,0.00
